,0
notional_volume,966115753147.4894
volume,255316904895.98758
vol_ma_20,166588008330.54996
vol_ma_50,147486607736.4387
bb_upper_20,1195000568.0217206
high,1192466888.2965395
open,1192018103.4510522
close,1192005859.2484121
ma_20,1191988771.2684233
ma_50,1191972049.5318363
ma_100,1191943001.8373976
ema_20,1191838866.2619638
ema_50,1191807421.4133725
low,1191564054.2760968
bb_lower_20,1189046805.227005
momentum_20,3816.697153968266
momentum_10,1911.4099343650805
stop_distance_hint,1042.5187826172216
atr_14,260.6296956543054
slippage_hint_bps,182.53674566754728
rsi_14,138.7158288693812
trend_slope_20,11.493020950128827
zscore_20,1.6632344198588556
vol_zscore_20,1.0088630820478837
trend_slope_240,0.8192477366341623
trend_slope_720,0.31055758793964805
liquidity_regime_flag,0.24411381380167418
vol_regime_flag,0.14173654688778783
vol_20,0.10802977140268437
realized_vol_30,0.10322357141091877
vol_50,0.0975521802069606
breakout_20,0.0972305284430888
volume_spike_flag,0.09692017806713493
volume_spike_flag_20,0.09692017806713493
vol_percentile_90d,0.0789817763163545
trend_regime_score,0.0572190675780324
position_cap_hint,0.04529795083607356
downside_vol_30,0.04093327798266365
notional_share,0.00037022116916477985
notional_share_60,0.00037022116916477985
bb_bandwidth_20,1.463860557782327e-05
ret_15m,1.1715715154152612e-05
ret_5m,3.81486157014312e-06
log_ret_1m,7.637817226237353e-07
ret_1m,7.637811512453559e-07
close_to_open,7.477001867664889e-07
hl_range,6.130762823659899e-07
hl_spread,6.130762823659899e-07
oc_spread,3.954077977423465e-07
oc_abs,3.954077977423465e-07
vwap_dist,9.788695102648901e-08
roll_measure_proxy,8.297277097733979e-14
kyle_lambda_proxy,1.3634266271223371e-14
intraday_reversal_flag,0.0
spread_est,
